stt,question,answer
1,"Nội dung khảo sát mực nước ngầm trong hố khoan là gì?
a. Xác định mực nước ngầm xuất hiện.
b. Xác định mực nước ngầm ổn định.
c. Quan trắc lâu dài mực nước ngầm tại vị trí cần thiết
d. Cả 3 nội dung a, b,c.",D 
2,"Tài liệu gốc ĐCCT bao gồm: Hình trụ hố khoan đào; Tập ảnh đo vẽ ĐCCT;
Nhật ký đo vẽ hiện trạng, đo vẽ ĐCCT; Kết quả thí nghiệm hiện trường và
trong phòng; Các tài liệu khảo sát chuyên ngành: địa vật lý, động đất, tân kiến
tạo, kết quả thí nghiệm cơ địa trong hầm ngang.
a. Đủ
b. Thiếu
c. Thiếu bổ sung: ảnh hòm nõn khoan máy
d. Thiếu bổ sung: ảnh hàng không địa hình",C 
3,"Trong qua trình đánh giá động đất, kiến tạo và các hoạt động địa động lực hiện
đại thì phải tiến hành điều tra và cung cấp các thông số về động đất, kiến tạo
trên vùng nghiên cứu đối với công trình cấp mấy trở lên?
a. Các công trình từ cấp II trở lên.
b. Các công trình từ cấp III trở lên.
c. Các công trình từ cấp I trở lên.
d. Các công trình cấp đặc biệt.",A 
4,"Trong thí nghiệm xác định độ chặt tiêu chuẩn trong phòng thí nghiệm, khi đầm
nện lớp cuối cùng, mẫu đất sau khi đã được đầm đủ số búa thì được phép nhô
cao hơn mép cối là bao nhiêu?
a. 0,3 cm.
b. 0,5 cm.
c. 1,0 cm.
d. 1,5 cm.",B 
5,"Khi thí nghiệm xác định sức chống cắt trong phòng thí nghiệm, để xác định
sức chống cắt của đất, có bao nhiêu phương pháp (sơ đồ) chính?
a. 2.
b. 3.
c. 4.
d. 5.",B 
6,"Trong quá trình khảo sát vùng các-tơ, sử dụng phương pháp do mặt cắt điện thì
giới hạn xác định các đới xung yếu nằm ở độ sâu không lớn hơn bao nhiêu?
a. dưới 10 m đến 15 m.
b. dưới 16 m đến 20 m.
c. dưới 21 m đến 25 m.
d. dưới 26 m đến 30 m.",A 
7,"Bản đồ địa chất công trình tỷ lệ lớn bao gồm
a. Bản đồ được vẽ ở tỷ lệ từ 1: 5.000 đến 1:1.000
b. Bản đồ được vẽ ở tỷ lệ từ 1: 10.000 đến 1: 50.000
c. Bản đồ được vẽ ở tỷ lệ từ 1: 100.000 đến 1: 200.000
d. Bản đồ được vẽ ở tỷ lệ 1: 500.000",A 
8,"Quy định về Phương án khảo sát địa kỹ thuật đầy đủ phải gồm những nội dung
nào:
a. Thành phần, khối lượng công tác khảo sát; yêu cầu kỹ thuật cần thực hiện;
giải pháp tổ chức thực hiện; tiến độ và giá thành dự kiến
b. Thành phần, khối lượng, yêu cầu kỹ thuật và tiến độ của công tác khảo sát
cần thực hiện
c. Quy định thành phần, khối lượng, tiến độ và giá thành khảo sát dự kiến
d. Quy định thành phần, khối lượng công tác khảo sát; yêu cầu kỹ thuật cần
thực hiện; giải pháp tổ chức thực hiện; giá thành dự kiến",A 
9,"Kết quả khảo sát địa chất công trình (Khảo sát Địa kỹ thuật) cho giai đọan
trước thiết kế cơ sở được sử dụng để giải quyết nhiệm vụ gì:
a. Luận chứng cho Dự án đầu tư (Báo cáo khả thi) và kiến nghị chọn giải pháp
móng thích hợp
b. Luận chứng cho quy hoạch tổng thể và làm cơ sở để thiết kế khảo sát địa
chất công trình giai đoạn chi tiết hơn
c. Chính xác hóa vị trí công trình và cung cấp tài liệu cho thiết kế kỹ thuật để
xây dựng công trình
d. Kiểm tra và chính xác hóa những vấn đề còn nghi ngờ hoặc còn thiếu hoặc
phục vụ thiết kế giải pháp công trình",B 
10,"Tại sao khi lấy mẫu nguyên trạng để thí nghiệm người ta lại phải quy định kích
thước đường kính tối thiểu và chiều dài của mẫu:
a. Để thuận tiện cho công tác lấy mẫu và thí nghiệm.
b. Để thuận tiện cho công tác bảo quản và vận chuyển
c. Để phù hợp với đường kính của thiết bị thí nghiệm trong phòng, tránh làm
hư hỏng phần xung quanh mẫu làm ảnh hưởng đến phần mẫu đất thí nghiệm
bên trong
d. Tránh làm hư hỏng phần xung quanh mẫu làm ảnh hưởng đến phần mẫu đất
thí nghiệm bên trong, phù hợp với đường kính của thiết bị thí nghiệm trong
phòng và đủ khối lượng mẫu để làm tất cả các chỉ tiêu thí nghiệm yêu cầu",D 
11,"Tiêu chuẩn áp dụng thí nghiệm SPT
a. TCVN 9351: 2012
b. TCVN 9352: 2012
c. TCVN 9437: 2012
d. TCVN 9363: 2012",A 
12,"Khi khoan khảo sát ĐCCT, các thí nghiệm nào sau đây có thể được tiến hành
trong hố khoan?
a. Thí nghiệm nén tĩnh cọc, thí nghiệm SPT, thí nghiệm đổ nước, ép nước, thí
nghiệm cắt cánh, thí nghiệm nén ngang
b. Thí nghiệm nén tĩnh nền, thí nghiệm SPT, thí nghiệm đổ nước, ép nước, thí
nghiệm cắt cánh, thí nghiệm nén ngang
c. Thí nghiệm SPT, thí nghiệm đổ nước, ép nước, thí nghiệm cắt cánh, thí
nghiệm nén ngang
d. Thí nghiệm CPT, thí nghiệm SPT, thí nghiệm đổ nước, ép nước, thí nghiệm
cắt cánh, thí nghiệm nén ngang.",C 
13,"Theo tiêu chuẩn, mẫu nguyên dạng được lấy bởi dụng cụ gì?
a. Ống mẫu thành mỏng, ống SPT, ống mẫu chẻ đôi
b. Ống nhựa PVC có băng dính và túi bóng
c. Ống khoan
d. Ống mẫu thành mỏng, ống mẫu chẻ đôi",D 
