stt,question,answer
1,"Nội dung và thứ tự ưu tiên tài liệu kèm theo hồ sơ hợp đồng được xác lập:
a. Không cần thể hiện trong hợp đồng vì đã được quy định của bởi văn bản
pháp luật xây dựng.
b. Không quan trọng vì các bên tự giải quyết khi có tranh chấp.
c. Các bên tham gia thống nhất trong hợp đồng.
d. Theo thời gian phát hành hồ sơ.",C 
2,"Chi phí khấu hao tính trong giá ca máy là khoản chi:
a. Về hao mòn của máy, thiết bị thi công trong thời gian sử dụng.
b. Về sửa chữa máy móc trong thời gian thi công.
c. Về bảo trì máy móc thiết bị thi công trong thời gian sử dụng.
d. Về nhiên liệu, lương và các chi phí khác trong thời gian sử dụng.",A 
3,"Hao phí vật liệu luân chuyển (ván khuôn, giàn giáo, cầu công tác…) phục vụ
công tác thi công có chiều cao dưới 3,6m, được tính trong dự toán xây dựng
công trình chưa?
a. Chưa.
b. Đã được tính trong định mức dự toán xây dựng công trình.
c. Đã được tính ở phần chi phí chung trong bảng dự toán xây dựng công trình.
d. Nhà thầu phải chịu vì đã tính khấu hao tài sản cố định của nhà thầu.",B 
4,"Lãi định mức của nhà thầu thi công xây dựng được tính trong dự toán xây
dựng công trình hay chưa?
a. Chưa.
b. Đã tính trong phần chi phí chung.
c. Đã tính trong phần thu nhập chịu thuế tính trước.
d. Do nhà thầu tiết kiệm chi phí trong quá trình thi công.",C 
5,"Hợp đồng tư vấn xây dựng gói thầu B, sử dụng vốn Nhà nước ngoài đầu tư
công được ký kết giữa bên giao thầu và bên nhận thầu có giá trị hợp đồng là 20
tỷ đồng, giá trị tạm ứng tối thiểu cho hợp đồng tư vấn xây dựng này là bao
nhiêu?
a. 5 tỷ đồng.
b. 4 tỷ đồng.
c. 3 tỷ đồng.
d. 2 tỷ đồng.",C 
6,"Chi phí nào dưới đây không thuộc thành phần chi phí hạng mục chung trong
dự toán xây dựng công trình
a. Chi phí quan trắc biến dạng công trình.
b. Chi phí đảm bảo an toàn giao thông phục vụ thi công (nếu có).
c. Chi phí nhà tạm tại hiện trường để ở và điều hành thi công.
d. Chi phí thí nghiệm vật liệu của nhà thầu.",A 
7,"Khi điều chỉnh giá trị dự toán gói thầu thuộc dự án đã phê duyệt dẫn tới phải
điều chỉnh tổng mức đầu tư xây dựng (sử dụng hết chi phí dự phòng) nhưng
không làm thay đổi mức đầu tư đã phê duyệt thì cách thức xử lý là:
a. Người quyết định đầu tư tổ chức điều chỉnh.
b. Chủ đầu tư tự tổ chức điều chỉnh cơ cấu các khoản mục chi phí, báo cáo
người quyết định đầu tư và chịu trách nhiệm về việc điều chỉnh của mình.
c. Theo quy định không được phép điều chỉnh.
d. Chủ đầu tư tự tổ chức điều chỉnh và chịu trách nhiệm về việc điều chỉnh của
mình.",B 
8,"Chủ thể nào có trách nhiệm lập tiến độ chi tiết thi công xây dựng công trình?
a. Chủ đầu tư.
b. Nhà thầu thiết kế xây dựng công trình.
c. Nhà thầu tư vấn giám sát thi công xây dựng.
d. Nhà thầu thi công xây dựng công trình.",D 
9,"Chi phí nào có trong tổng mức đầu tư mà không có trong tổng dự toán xây
dựng công trình?
a. Chi phí xây dựng.
b. Lãi vay trong thời gian đầu tư xây dựng.
c. Chi phí tư vấn đầu tư.
d. Dự phòng phí.",B 
10,"Có 2 phương án A và B, vốn đầu tư ban đầu của B lớn hơn của A với IRRB >
IRRA và IRRA < MARR thì phương án được chọn là:
a. Phương án A.
b. Phương án B.
c. Cả phương án A và phương án B đều bị loại.
d. Chưa xác định.",D 
11,"Có 2 phương án có số vốn ban đầu bỏ ra bằng nhau, thu nhập hoàn vốn hàng
năm bằng nhau, khi đó:
a. Phương án có tuổi thọ dài hơn sẽ bị loại bỏ.
b. Phương án có tuổi thọ dài hơn sẽ được chọn.
c. Chưa xác định.
d. Cả hai phương án đều bị loại bỏ.",C 
12,"Trong phân tích kinh tế - xã hội của dự án đầu tư, thuế thu nhập doanh nghiệp:
a. Là một khoản do doanh nghiệp phải bỏ ra để nộp cho nhà nước nên phải tính
vào dòng chi.
b. Là một khoản mà Nhà nước và xã hội được hưởng từ doanh nghiệp nên
được tính vào dòng thu.
c. Không coi là chi phí cũng không được tính vào dòng thu.
d. Không câu nào đúng.",B 
13,"Đối với các dự án đầu tư phục vụ công cộng thì:
a. Phải đạt hiệu quả cao về mặt tài chính.
b. Phải có hiệu quả về mặt kinh tế - xã hội.
c. Phải đạt hiệu quả cả về tài chính và kinh tế - xã hội.
d. Hoàn toàn không quan tâm đến hiệu quả về mặt tài chính.",B 
14,"Nội dung nào sau đây không phải là mục đích của việc lập dự án đầu tư xây
dựng:
a. Là một phương án sản xuất kinh doanh hàng năm của doanh nghiệp.
b. Là cơ sở để xây dựng kế hoạch thực hiện đầu tư.
c. Là cơ sở để thẩm định và quyết định tài trợ vốn.
d. Là căn cứ đề nghị vay vốn, hưởng ưu đãi đầu tư.",A 
15,"Một dự án đầu tư có 3 phương án thực hiện, khi đó mối quan hệ giữa 3 phương
án sẽ là:
a. Phụ thuộc nhau.
b. Độc lập với nhau.
c. Loại trừ nhau.
d. Bổ sung nhau.",C 
16,"Tìm câu trả lời sai - ""Dự án đầu tư xây dựng là cơ sở để…"":
a. Quyết định đầu tư xây dựng.
b. Bố trí kế hoạch vốn đầu tư.
c. Điều chỉnh quy hoạch xây dựng.
d. Xây dựng kế hoạch thực hiện đầu tư.",C 
17,"Chọn câu đúng – ""Phân tích tình huống trong dự án đầu tư là phương pháp
phân tích rủi ro, trong đó…"":
a. Giả định các chỉ tiêu hiệu quả của dự án tác động đến các biến rủi ro đầu vào
của dự án.
b. Giả định các biến rủi ro đầu vào của dự án theo các tình huống của thị
trường nhằm xem xét các chỉ tiêu hiệu quả của dự án trong từng tình huống.
c. Giả định từng biến rủi ro đầu vào của dự án theo các tình huống của thị
trường nhằm xem xét các chỉ tiêu hiệu quả của dự án trong từng tình huống.
d. Giả định một hoặc hai biến rủi ro đầu vào của dự án tác động đến các chỉ
tiêu hiệu quả của dự án.",B 
18,"Vai trò của đầu tư xây dựng là:
a. Thúc đẩy tăng trưởng kinh tế.
b. Tăng cường khả năng công nghệ của đất nước.
c. Tác động chuyển dịch cơ cấu kinh tế.
d. Câu a, b và c.",D 
