stt,question,answer
1,"Hoạt động xây dựng phải tuân thủ theo luật nào sau đây?
a. Luật Xây dựng; luật Quy hoạch; luật Kiến trúc.
b. Luật Đấu thầu.
c. Luật Bảo vệ môi trường.
d. Câu a, b và c.",D 
2,"Việc phân loại công trình xây dựng theo quy định của pháp luật về xây dựng
trên cơ sở tiêu chí nào?
a. Theo kiến trúc công trình; theo quy mô công trình.
b. Theo tính chất kết cấu; theo công năng sử dụng công trình.
c. Câu a và b.
d. Câu a hoặc b.",C 
3,"Công tác nào sau đây không nằm trong giai đoạn thực hiện dự án đầu tư xây
dựng?
a. Thẩm định, phê duyệt thiết kế bản vẽ thi công và dự toán
b. Lựa chọn nhà thầu thi công xây dựng
c. Thẩm định, phê duyệt dự án
d. Nghiệm thu công việc xây dựng",C 
4,"Công trình nào quy định thiết kế 1 (một) bước?
a. Công trình phải lập Báo cáo kinh tế - kỹ thuật.
b. Công trình phải lập Báo cáo nghiên cứu khả thi.
c. Công trình ảnh hưởng lớn đến an toàn, lợi ích cộng đồng.
d. Cả ba câu a, b và đều sai.",A 
5,"Nhà thầu tư vấn bắt buộc mua bảo hiểm trách nhiệm nghề nghiệp tư vấn đầu tư
xây dựng đối với:
a. Tất cả công tác tư vấn xây dựng.
b. Công việc quản lý dự án, giám sát thi công xây dựng của công trình xây
dựng từ cấp II trở lên.
c. Công việc khảo sát xây dựng, thiết kế xây dựng của công trình xây dựng từ
cấp II trở lên.
d. Câu b và c.",C 
6,"Việc phân loại công trình xây dựng theo quy định của pháp luật về xây dựng
trên cơ sở tiêu chí nào?
a. Theo kiến trúc công trình; theo quy mô công trình.
b. Theo tính chất kết cấu; theo công năng sử dụng công trình.
c. Câu a và b.
d. Câu a hoặc b.",C 
7,"Tổng mức đầu tư dự án gồm những thành phần chi phí nào?
a. Chi phí xây dựng, thiết bị, bồi thường hỗ trợ tái định cư.
b. Chi phí xây dựng, thiết bị, quản lý dựán.
c. Chi phí xây dựng, thiết bị, bồi thường, hỗ trợ và tái định cư, quản lý dự án,
tư vấn đầu tư xây dựng, chi phí khác.
d. Cả a, b, c đều sai.",D 
8,"Chủ đầu tư phải lập báo cáo nghiên cứu tiền khả thi đối với dự án nào?
a. Dự án quan trọng quốc gia.
b. Dự án nhóm A.
c. Cả a, b đều đúng.
d. Cả a, b đều sai.",D 
9,"Sở quản lý công trình xây dựng chuyên ngành gồm các Sở nào?
a. Sở Xây dựng, Sở Giao thông Vận tải, Sở Nông nghiệp và Phát triển nông
thông, Sở Công thương.
b. Sở Xây dựng, Sở Giao thông Vận tải, Sở Giáo dục và Đào tạo, Sở Y tế.
c. Sở Xây dựng, Sở Giao thông Vận tải, Sở Quy hoạch – Kiến trúc, Sở Kế
hoạch và Đầu tư.
d. Sở Xây dựng, Sở Giao thông Vận tải, Sở Quy hoạch – Kiến trúc, Sở Thông
tin truyền thông.",C 
10,"Việc quyết định hình thức quản lý dự án đối với dự án sử dụng nguồn vốn đầu
tư công thuộc chủ thể nào:
a. Người quyết định đầu tư.
b. Chủ đầu tư.
c. Cả a, b đều đúng.
d. Cả a, b đều sai.",A 
11,"Dự án đầu tư xây dựng nào phải được giám sát, đánh giá đầu tư xây dựng?
a. Dự án sử dụng vốn nhà nước.
b. Dự án sử dụng nguồn vốn khác.
c. Cả a, b đều đúng.
d. Cả a, b đều sai.",A 
12,"Chủ đầu tư của dự án sử dụng nguồn vốn nhà nước ngoài đầu tư công là ai?
a. Là cơ quan, tổ chức được người quyết định đầu tư giao quản lý, sử dụng vốn
để đầu tư xây dựng.
b. Là cơ quan, tổ chức, cá nhân vay vốn để đầu tư xây dựng.
c. Là doanh nghiệp dự án thành lập theo quy định của pháp luật.
d. Cả b, c đều đúng.",C 
13,"Loại hình công trình nào không phải lập Báo cáo kinh tế kỹ thuật.
a. Công trình xây dựng sử dụng cho mục đích tôn giáo.
b. Công trình xây dựng quy mô nhỏ và công trình khác do Chính phủ quy định.
c. Công trình xây dựng nhà ở riêng lẻ.
d. Cả a, b, c đều sai",A 
14,"Tỷ lệ phần trăm tối đa đối với chi phí dự phòng do khối lượng công việc phát
sinh trong tổng mức đầu tư xây dựng là bao nhiêu?
a. 5%.
b. 10%.
c. 15%.
d. 20%.",C 
15,"Tỷ lệ phần trăm tối đa đối với chi phí dự phòng do khối lượng công việc phát
sinh đối với dự án đầu tư chỉ yêu cầu lập Báo cáo kinh tế kỹ thuật là bao nhiêi?
a. 5%.
b. 10%.
c. 15%.
d. 20%.",B 
16,"Chủ thể nào quyết định số bước thiết kế xây dựng?
a. Người quyết định đầu tư.
b. Chủ đầu tư.
c. Tư vấn quản lý dự án.
d. Tư vấn lập báo cáo nghiên cứu khả thi.",A 
17,"Thẩm quyền cấp giấy phép hoạt động xây dựng cho nhà thầu nước ngoài đối
với dự án đầu tư xây dựng trên địa bàn 2 tỉnh trở lên?
a. Bộ Xây dựng.
b. Ủy ban nhân dân cấp tỉnh nơi nhà thầu nước ngoài dự kiến đặt văn phòng
điều hành.
c. Sở Xây dựng thuộc địa phương nơi nhà thầu nước ngoài dự kiến đặt văn
phòng điều hành.
d. Cả a, b, c đều sai.",A 
18,"Chủ thể nào sau đây có trách nhiệm lập bản vẽ hoàn công công trình?
a. Chủ đầu tư
b. Nhà thầu thiết kế xây dựng
c. Nhà thầu thi công xây dựng
d. Nhà thầu tư vấn giám sát thi công xây dựng",C 
19,"Chủ thể nào có trách nhiệm lập tiến độ chi tiết thi công xây dựng công trình?
a. Chủ đầu tư
b. Nhà thầu thiết kế xây dựng công trình
c. Nhà thầu thi công xây dựng công trình
d. Nhà thầu tư vấn giám sát thi công xây dựng",C 
20,"Ai là người có trách nhiệm tổ chức lập hồ sơ hoàn thành công trình xây dựng?
a. Nhà thầu thi công xây dựng
b. Chủ đầu tư
c. Nhà thầu giám sát thi công xây dựng
d. Cơ quan quản lý nhà nước có thẩm quyền",C 
21,"Việc áp dụng quy chuẩn kỹ thuật trong hoạt động đầu tư xây dựng là:
a. Bắt buộc
b. Khuyến khích
c. Tự nguyện
d. Thỏa thuận",A 
22,"Nhà thầu giám sát thi công xây dựng có trách nhiệm gì sau đây?
a. Thực hiện giám sát theo hợp đồng được ký kết
b. Từ chối nghiệm thu khi công trình không đạt yêu cầu về chất lượng
c. Giám sát việc thực hiện các quy định về an toàn, bảo vệ môi trường
d. Tất cả các điều trên",D 
23,"Thẩm quyền kiểm tra biện pháp thi công xây dựng của nhà thầu thi công?
a. Tư vấn thiết kế
b. Người giám sát thi công xây dựng của chủ đầu tư
c. Đơn vị kiểm định độc lập
d. Cả ba đáp án trên",A 
24,"Khi khởi công xây dựng công trình, không cần phải đáp ứng điều kiện nào
dưới đây:
a. Có thiết kế bản vẽ thi công của hạng mục công trình, công trình khởi công
đã được phê duyệt
b. Chủ đầu tư đã ký kết hợp đồng với nhà thầu thực hiện các hoạt động xây
dựng liên quan đến công trình được khởi công theo quy định của pháp luật
c. Có hợp đồng với đơn vị cung cấp vật liệu chính của công trình.
d. Có biện pháp bảo đảm an toàn, bảo vệ môi trường trong quá trình thi công
xây dựng",C 
25,"Đơn vị nào có trách nhiệm bảo đảm an toàn cho con người, công trình xây
dựng, tài sản, thiết bị, phương tiện trong quá trình thi công xây dựng công trình
và phòng, chống cháy, nổ, bảo vệ môi trường trong giai đoạn thi công?
a. Tư vấn giám sát.
b. Nhà thầu thi công xây dựng
c. Tư vấn Quản lý dự án.
d. Đơn vị cung cấp máy, thiết bị thi công.",B 
26,"Nhà thầu thi công xây dựng có trách nhiệm xác định vùng nguy hiểm trong thi
công xây dựng công trình và thực hiện những công tác nào sau đây?
a. Tổ chức lập, trình chủ đầu tư chấp thuận biện pháp bảo đảm an toàn cho con
người, công trình xây dựng, tài sản, thiết bị, phương tiện trong vùng nguy hiểm
trong thi công xây dựng công trình
b. Rà soát biện pháp bảo đảm an toàn định kỳ, đột xuất để điều chỉnh cho phù
hợp với thực tế thi công trên công trường
c. Cả nội dung a và b
d. Không phải các nội dung trên",C 
27,"Đối với công tác an toàn và bảo vệ môi trường trên công trường xây dựng,
người giám sát có trách nhiệm nào sau đây?
a. Lập biện pháp và tuân thủ các quy định về an toàn, bảo vệ môi trường.
b. Giám sát việc thực hiện các quy định về an toàn, bảo vệ môi trường.
c. Tạm dừng thi công và thông báo kịp thời cho chủ đầu tư để xử lý trong
trường hợp phát hiện công trình có nguy cơ xảy ra mất an toàn.
d. Đáp án b và c.",D 
28,"Nội dung nào sau đây không thuộc nghĩa vụ của nhà thầu giám sát thi công xây
dựng công trình?
a. Thực hiện giám sát theo đúng hợp đồng.
b. Từ chối nghiệm thu khi công trình không đạt yêu cầu chất lượng.
c. Từ chối nghiệm thu khi sản phẩm thiết kế không đạt yêu cầu về chất lượng.
d. Đề xuất với chủ đầu tư những bất hợp lý về thiết kế xây dựng.",C 
29,"Việc bàn giao toàn bộ hoặc một phần mặt bằng xây dựng để thi công là do ai
quyết định?
a. Người quyết định đầu tư quyết định
b. Chủ đầu tư quyết định
c. Theo thỏa thuận giữa chủ đầu tư và nhà thầu thi công xây dựng
d. Chính quyền địa phương quyết định",C 
30,"Tổ chức nào có trách nhiệm lắp đặt biển báo công trình tại công trình?
a. Chủ đầu tư xây dựng công trình
b. Nhà thầu thiết kế xây dựng công trình
c. Nhà thầu chính thi công xây dựng công trình
d. Nhà thầu phụ thi công xây dựng công trình",A 
31,"Đâu là nghĩa vụ của nhà thầu thi công xây dựng trong việc thi công xây dựng
công trình
a. Từ chối thực hiện những yêu cầu trái pháp luật
b. Yêu cầu thanh toán giá trị khối lượng xây dựng hoàn thành theo đúng hợp
đồng
c. Có hệ thống quản lý chất lượng phù hợp và thiết lập hồ sơ quản lý chất
lượng công trình
d. Cả a, b và c",C 
32,"Kế hoạch tổ chức thí nghiệm, kiểm tra, kiểm định, thử nghiệm, chạy thử, quan
trắc, đo đạc các thông số kỹ thuật của công trình theo yêu cầu thiết kế và chỉ
dẫn kỹ thuật do ai lập?
a. Chủ đầu tư
b. Ban quản lý dự án hoặc tư vấn quản lý dự án
c. Tư vấn giám sát thi công xây dựng
d. Nhà thầu thi công xây dựng",C 
33,"Trong dự án vốn đầu tư công và vốn nhà nước ngoài đầu tư công, Tư vấn giám
sát không yêu cầu phải độc lập với đơn vị nào dưới đây:
a. Đơn vị cung ứng vật liệu, sản phẩm vào công trình
b. Tư vấn kiểm định
c. Nhà thầu thi công xây dựng
d. Tư vấn thiết kế",D 
34,"Ai có trách nhiệm lập hồ sơ sự cố công trình xây dựng?
a. Nhà thầu thi công xây dựng
b. Tư vấn giám sát
c. Tư vấn thiết kế
d. Chủ đầu tư, chủ sở hữu hoặc chủ quản lý",D 
35,"Các hoạt động đầu tư xây dựng chịu sự điều chỉnh của pháp luật nào dưới đây?
a. Pháp luật về xây dựng
b. Pháp luật về xây dựng và pháp luật về đầu tư công
c. Pháp luật về xây dựng và pháp luật về đấu thầu
d. Pháp luật về xây dựng và pháp luật khác có liên quan",D 
36,"Theo quy định của pháp luật về xây dựng, hoạt động xây dựng gồm các công
việc nào dưới đây?
a. Lập quy hoạch xây dựng, lập dự án đầu tư xây dựng công trình, khảo sát xây
dựng
b. Thiết kế xây dựng, thi công xây dựng, giám sát xây dựng, quản lý dự án, lựa
chọn nhà thầu, nghiệm thu, bàn giao đưa công trình vào khai thác sử dụng
c. Bảo hành, bảo trì công trình xây dựng và hoạt động khác có liên quan đến
xây dựng công trình
d. Các công việc nêu tại điểm a, b và c",D 
