stt,question,answer
1,"Cường độ bê tông tối thiểu để tháo dỡ cốp pha đà giáo chịu lực của kết cấu
Bản, dầm, vòm có khẩu độ lớn hơn 8m (%R28) khi chưa chất tải là:
a. 50%.
b. 70%.
c. 80%.
d. 90%.",D 
2,"Nghiệm thu khối lượng công việc hoàn thành, căn cứ vào:
a. Hồ sơ thiết kế bản vẽ thi công, thiết kế điều chỉnh (nếu có); Bản vẽ hoàn
công.
b. Hồ sơ quản lý chất lượng vật liệu, sản phẩm, cấu kiện, thiết bị sử dụng cho
công trình; Nhật ký thi công.
c. Hợp đồng thi công xây dựng và các phụ lục hợp đồng.
d. Bao gồm cả a, b và c.",D 
3,"Mức sai lệch trục định vị chân cột trong thi công kết cấu bê tông và bê tông cốt
thép lắp ghép cho phép (nếu trong thiết kế không quy định) là:
a. 10 mm.
b. 5 mm.
c. 15 mm.
d. 2,5 mm.",A 
4,"Công tác kiểm tra chất lượng thi công công tác đất thi công bằng cơ giới thủy
lực bao gồm:
a. Sự thực hiện tất cả các công tác chuẩn bị.
b. Việc khai thác đất ở mỏ, công tác nạo vét đất ở các công trình và việc thực
hiện các công tác bồi đất.
c. Tình trạng công trình và chất lượng đất bồi đắp Tình trạng công trình và chất
lượng đất bồi đắp.
d. Cả a, b và c.",D 
5,"Sai số cao độ mặt dầm làm gối đỡ tấm sàn trong thi công kết cấu bê tông và bê
tông cốt thép lắp ghép cho phép (nếu trong thiết kế không quy định) là:
a. -15 đến + 5 mm.
b. -10 đến + 10 mm.
c. -15 đến + 15 mm.
d. -5 đến +5 mm.",A 
6,"Bê tông đầm lăn khác bê tông thường chỗ nào?
a. Trong bê tông đầm lăn có ít nước so với bê tông thông thường.
b. Bê tông đầm lăn phải dùng phụ gia hạt mịn làm giảm nước mà vẫn giữ được
độ linh động.
c. Thi công bê tông đầm lăn phải có lực đầm lớn và lực nén chặt bê tông lớn
nên phải dùng xe lu để đầm.
d. Phải bảo đảm tất cả các tính chất nêu tại các phương án trên đây.",D 
7,"Những công tác thi công nào cần giám sát?
a. Chỉ những công tác quan trọng.
b. Mọi công tác thi công đều phải giám sát.
c. Những công việc sau này bị che khuất do vật liệu khác lấp phủ.
d. Những công tác ảnh hưởng đến việc thi công tiếp theo.",B 
8,"Giám sát vào những thời gian nào?
a. Giám sát vào giờ hành chính.
b. Giám sát vào ban đêm khi đổ bê tông.
c. Khi nào trên công trường diễn ra các hoạt động xây dựng đều phải giám sát.
d. Khi sắp nghiệm thu công tác xây dựng thì cần giám sát.",C 
9,"Kiểm tra sự chuẩn bị để thi công đất còn phải thêm những điều kiện gì?
a. Khi thi công đất, ngoài lớp đất nằm dưới mức nước ngầm bị bão hòa nước,
cũng phải chú ý đến lớp đất ướt trên mức nước ngầm do hiện tượng mao dẫn.
b. Tùy loại đất mà lớp đất bị mao dẫn có chiều cao: Cát thô, cát hạt trung và cát
hạt nhỏ chiều cao mao dẫn là 0,5 m.
c. Chiều cao mao dẫn là cát mịn và đất cát pha chiều cao mao dẫn là 1,5 m.
d. Đất pha sét, đất sét và hoàng thổ chiều cao phải xác định tại hiện trường.",A 
10,"Giám sát và kiểm tra chất lượng cốt thép ứng lực trước khi thi công bê tông
ứng lực trước cho sàn nhà cao tầng?
a. Thép sử dụng làm ứng lực trước phải có catalogue.
b. Lớp vỏ bọc cáp phải đáp ứng được các yêu cầu theo quy định về tính chất cơ
học, nhiệt độ.
c. Việc cắt các thanh hay bó thép ứng lực trước, nhất thiết phải mài bằng máy
mài có tốc độ cao.
d. Chỉ dẫn phải ghi đầy đủ trong chỉ dẫn kỹ thuật.",D 
11,"Tiêu chí để giám sát?
a. Giám sát thi công đúng thiết kế được phê duyệt, đúng tiêu chuẩn, quy chuẩn
áp dụng, quy định về quản lý, sử dụng vật liệu xây dựng, chỉ dẫn kỹ thuật và
hợp đồng xây dựng
b. Giám sát theo đúng ý kiến của bên thiết kế
c. Giám sát theo lệnh ghi trong giấy giao việc của chủ đầu tư
d. Giám sát theo hướng dẫn của chuyên gia nước ngoài.",A 
12,"Có một tiêu chí để giám sát là trung thực, khách quan, không vụ lợi có đúng
không?
a. Đúng là giám sát phải trung thực, khách quan, không vụ lợi.
b. Giám sát phải theo ý muốn của chủ đầu tư, có lợi cho chủ đầu tư
c. Phải giám sát theo phương án rẻ nhất
d. Giám sát cẩn lựa theo lòng mong muốn của nhà thầu để họ hợp tác tốt với
cán bộ giám sát.",A 
13,"Tiêu chuẩn nào được sử dụng trong quá trình thi công và nghiệm thu công tác
đất ?
a. TCVN 4447:2012
b. TCVN 4447:1987
c. TCVN 9379: 2012
d. TCVN 9360: 2012",A 
14,"Kiểm tra tài liệu cần có để giám sát chất lượng thi công đất bao gồm những tài
liệu nào?
a. Thiết kế kỹ thuật công trình.
b. Thiết kế cơ sở của công trình.
c. Thiết kế lắp đặt thiết bị công trình.
d. Thiết kế biện pháp thi công đất.",D 
15,"Trong thiết kế biện pháp thi công đất cần những lưu ý gì?
a. Không được thải bừa bãi nước bẩn, đất rác bẩn ra khu vực công trình đang
thi công.
b. Được thải một phần nước bẩn, đất rác bẩn ra công trường.
c. Không được thải nước bẩn nhưng được thải chút ít đất rác bẩn.
d. Không được thải đất rác bẩn nhưng có thể thải ít nước bẩn.",A 
16,"Mái dốc cho thành hố đào tạm thời nên lựa chọn theo các chỉ tiêu thế nào?
a. Độ dốc lớn nhất cho phép của mái dốc hào và hố móng khi không cần gia
cố, cần tuân thủ chỉ dẫn kỹ thuật.
b. Các chỉ tiêu này lấy theo TCVN 4447:2012 Công tác đất - Tiêu chuẩn thi
công và nghiệm thu.
c. Tùy loại đất mà quyết định mái dốc cho thành hố đào.
d. Kỹ sư tư vấn giám sát quyết định tại chỗ.",B 
17,"Những quy định khi sử dụng máy đào một gầu đào móng có cho phép để lại
lớp bảo vệ không?
a. Khi sử dụng máy đào một gầu để đào móng, để tránh phá hoại cấu trúc địa
chất đặt móng, cho phép để lớp bảo vệ.
b. Bề dày lớp bảo vệ đáy móng (cm) tùy thuộc dùng máy đào có dung tích gầu
(m3) lớn hay bé mà quyết định theo tiêu chuẩn
c. Thợ khéo tay, đào không cần lớp bảo vệ.
d. Nếu dưới nền không có cọc thì không cần để lớp bảo vệ.",A 
18,"Giám sát và kiểm soát chất lượng ép cọc theo phương án nào?
a. Kiểm tra việc chọn thiết bị ép, công suất thiết bị lớn hơn 1,4 lần lực ép thiết
kế quy định
b. Lựa chọn đối trọng phù hợp. Đối trọng phải lớn hơn 1,1 lần lực ép lớn nhất.
c. Gia tải 10 ~ 15% tải trọng thiết kế để thử ổn định của hệ thiết bị ép.
d. Phải theo tất cả các phương án nêu trên.",D 
19,"Giám sát và kiểm soát chất lượng thí nghiệm cọc để nghiệm thu có phương án
thêm nào dưới đây?
a. Phải bám sát các khâu thi công nền móng, không được bỏ sót công đoạn nào
b. Quá trình theo dõi thí nghiệm, cần luôn luôn đối chiều với các thông số ở
báo cáo kết quả khảo sát địa chất công trình
c. Nếu nghi ngờ về kết quả thì yêu cầu nhà thầu thi công kiểm tra dưới sự
chứng kiến của tư vấn giám sát.
d. Nếu có nghi ngờ về dữ liệu địa chất hay thủy văn, có thể yêu cầu một đơn vị
thẩm định xác định dữ liệu.",B 
