stt,question,answer
1,"Một dự án có thời gian thực hiện là 5 năm, thời gian thi công xây dựng là 3
năm. Dự phòng phí cho yếu tố trượt giá trong tổng dự toán được phân bổ trong
thời gian là:
a. 3 năm.
b. 5 năm.
c. 2 năm.
d. Theo yêu cầu của chủ đầu tư.",A 
2,"Tổng mức đầu tư xây dựng được xác định theo các phương pháp sau:
a. Theo thiết kế cơ sở và các yêu cầu cần thiết khác của dự án; theo suất đầu tư
xây dựng.
b. Dữ liệu về chi phí của các dự án, công trình tương tự đã thực hiện.
c. Kết hợp các phương pháp ở câu a và b.
d. Câu a, b và c.",D 
3,"Tổ chức nào phải chịu chi phí thí nghiệm vật liệu xây dựng, cấu kiện và bán
thành phẩm trong quá trình thi công:
a. Đơn vị tư vấn giám sát phải chịu vì thực hiện theo yêu cầu của cán bộ giám
sát thi công.
b. Đơn vị thi công phải chịu để được ký nghiệm thu công việc.
c. Đơn vị thi công phải chịu vì đã được tính vào chi phí chung trong dự toán
xây dựng công trình.
d. Đơn vị thi công phải chịu vì đã được tính vào đơn giá vật liệu trong dự toán
xây dựng công trình.",C 
4,"Lãi định mức của nhà thầu thi công xây dựng đã được tính trong dự toán xây
dựng công trình hay chưa?
a. Chưa.
b. Đã tính trong phần chi phí chung.
c. Đã tính trong phần thu nhập chịu thuế tính trước.
d. Do nhà thầu tiết kiệm chi phí trong quá trình thi công.",C 
5,"Bảo đảm thực hiện hợp đồng của nhà thầu thi công xây dựng có hiệu lực đến
khi nào?
a. Đến khi nhà thầu đã hoàn thành các nghĩa vụ theo hợp đồng.
b. Sau khi chủ đầu tư đã nhận được bảo đảm bảo hành của nhà thầu.
c. Câu a hoặc b.
d. Sau khi công việc theo hợp đồng đã hoàn thành bàn giao chủ chủ đầu tư.",C 
6,"Chi phí chung trong chi phí xây dựng gồm những chi phí nào sau đây:
a. Chi phí quản lý doanh nghiệp.
b. Chi phí điều hành sản xuất tại công trường, chi phí phục vụ công nhân.
c. Chi phí phục vụ thi công tại công trường và một số chi phí phục vụ cho quản
lý khác của doanh nghiệp;
d. Câu a, b và c.",D 
7,"Giá bộ phận kết cấu công trình do Bộ Xây dựng công bố là cơ sở để xác định:
a. Sơ bộ tổng mức đầu tư, tổng mức đầu tư.
b. Dự toán xây dựng công trình.
c. Quản lý và kiểm soát chi phí xây dựng công trình.
d. Câu a, b và c.",D 
8,"Nội dung nào không thuộc nội dung quản lý dự án đầu tư xây dựng của chủ
đầu tư?
a. Quản lý thông tin.
b. Quản lý quy mô.
c. Quản lý tiến độ.
d. Quản lý chi phí của nhà thầu xây dựng.",D 
9,"Thẩm quyền quy định số bước thiết kế xây dựng công trình thuộc về:
a. Ban quản lý dự án.
b. Chủ đầu tư.
c. Người quyết định đầu tư.
d. Đơn vi tư vấn thiết kế.",C 
10,"Chủ thể nào phải chịu trách nhiệm chính về an toàn lao động trên công trường?
a. Chủ đầu tư.
b. Nhà thầu thi công xây dựng công trình.
c. Nhà thầu tư vấn giám sát thi công xây dựng công trình.
d. Cả 3 câu a, b và c.",B 
