stt,question,answer
1,"Cơ quan nào sau đây có thẩm quyền quyết định điều chỉnh cục bộ quy hoạch?
a.Cơ quan tổ chức lập quy hoạch
b.Cơ quan thẩm định quy hoạch
c.Cơ quan tư vấn lập quy hoạch
d. Cơ quan phê duyệt quy hoạch",D 
2,"Mật độ xây dựng thuần tối đa của lô đất xây dựng nhà ở riêng lẻ (nhà biệt thự,
nhà ở liền kề, nhà ở độc lập) có diện tích 200 m2 là bao nhiêu ?
a.0.6
b.0.65
c.0.7
d.0.75",C 
3,"Đồ án quy hoạch chung xây dựng xã được phê duyệt là cơ sở lập các quy
hoạch nào theo các phương án dưới đây:
a.Quy hoạch chi tiết xây dựng điểm dân cư nông thôn.
b.Quy hoạch chi tiết xây dựng điểm dân cư nông thôn gồm trung tâm xã, khu
dân cư, khu chức năng khác trên địa bàn xã.
c.Quy hoạch chi tiết xây dựng điểm dân cư nông thôn gồm trung tâm xã, khu
dân cư, các cụm công nghiệp và khu chức năng khác trên địa bàn xã.
d.Cả 3 phương án trên",B 
4,"Quy mô dân số tối đa và tối thiểu của một đơn vị ở trong quy hoạch đô thị là
bao nhiêu ?
a.Tối đa 10.000 người, tối thiểu 3.000 người
b.Tối đa 15.000 người, tối thiểu 4.000 người
c.Tối đa 20.000 người, tối thiểu 5.000 người
d.Tối đa 20.000 người, tối thiểu 4.000 người",D 
5,"Theo QCVN 01:2021/BXD, Trường hợp các công trình có chiều cao < 46 m
thì khoảng cách yêu cầu theo phương án nào dưới đây:
a.Khoảng cách giữa cạnh dài của các công trình phải đảm bảo ≥ 1/2 chiều cao
công trình nhưng không được < 7 m; giữa đầu hồi của công trình với công
trình khác phải đảm bảo ≥ 1/3 chiều cao công trình nhưng không được ≤4 m;
b.Khoảng cách giữa cạnh dài của các công trình phải đảm bảo ≥ 1/2 chiều cao
công trình nhưng không được < 7 m;. giữa đầu hồi của công trình với đầu hồi
hoặc cạnh dài của công trình khác phải đảm bảo ≥ 1/3 chiều cao công trình
nhưng không được < 4 m;
c.Khoảng cách giữa cạnh dài của các công trình phải đảm bảo > 1/2 chiều cao
công trình nhưng không được < 7 m; giữa đầu hồi của công trình với đầu hồi
hoặc cạnh dài của công trình khác phải đảm bảo ≥ 1/3 chiều cao công trình
nhưng không được <5 m;
d.Các phương án trên đều sai",B 
6,"Quy hoạch đô thị gồm các loại nào sau đây:
a.Quy hoạch chung được lập cho thành phố trực thuộc trung ương, thành phố
thuộc tỉnh, thị xã, thị trấn và đô thị mới; Quy hoạch phân khu được lập cho các
khu vực đô thị; Quy hoạch chi tiết được lập cho khu vực hoặc dự án đầutư xây
dựng
b.Quy hoạch chung được lập cho các thành phố, thị xã, thị trấn và đô thị mới;
Quy hoạch phân khu được lập cho các khu vực trong thành phố, thị xã và đô
thị mới; Quy hoạch chi tiết được lập cho khu vực theo yêu cầu phát triển, quản
lý đô thị hoặc nhu cầu đầu tư xây dựng.
c.Quy hoạch chung được lập cho thành phố trực thuộc trung ương, thành phố
thuộc tỉnh, thị xã, thị trấn và đô thị mới; Quy hoạch phân khu được lập cho các
khu vực trong thành phố, thị xã và đô thị mới; Quy hoạch chi tiết được lập cho
khu vực theo yêu cầu phát triển, quản lý đô thị hoặc nhu cầu đầu tư xây dựng.
d.Quy hoạch chung được lập cho thành phố thị xã, thị trấn và đô thị mới; Quy
hoạch phân khu được lập cho các khu vực trong thành phố, thị xã và đô thị
mới; Quy hoạch chi tiết được lập cho khu vực hoặc dự án đầutư xây dựng",C 
7,"Quy hoạch chung đô thị được lập cho các đối tượng nào theo các phương án
dưới đây:
a.Tỉnh, thành phố trực thuộc trung ương, thành phố thuộc tỉnh, thị xã, thị trấn
và đô thị mới.
b.Thành phố trực thuộc trung ương, thành phố thuộc tỉnh, thị xã, thị trấn và đô
thị mới.
c.Thành phố, thị xã, thị trấn và đô thị mới.
d.Thành phố thuộc tỉnh, thị xã, thị trấn và đô thị mới.",B 
8,"Đồ án quy hoạch phân khu bao gồm các nội dung theo phương án nào dưới
đây:
a.Xác định chức năng sử dụng cho từng khu đất; nguyên tắc tổ chức không
gian, kiến trúc cảnh quan cho toàn khu vực lập quy hoạch; chỉ tiêu về dân số,
sử dụng đất, hạ tầng kỹ thuật đối với từng ô quy hoạch; bố trí công trình hạ
tầng xã hội phù hợp với nhu cầu sử dụng; bố trí mạng lưới các công trình hạ
tầng kỹ thuật đến các trục đường phố phù hợp với các giai đoạn phát triển của
toàn đô thị; đánh giá môi trường chiến lược.
b.Xác định chức năng sử dụng cho từng khu đất; nguyên tắc tổ chức không
gian, kiến trúc cảnh quan cho toàn khu vực lập quy hoạch; chỉ tiêu về dân số,
sử dụng đất, hạ tầng kỹ thuật đối với từng ô phố; bố trí công trình hạ tầng xã
hội phù hợp với nhu cầu sử dụng; bố trí mạng lưới các công trình hạ tầng kỹ
thuật đến các trục đường phố phù hợp với các giai đoạn phát triển của toàn đô
thị; đánh giá môi trường chiến lược.
c.Xác định chức năng sử dụng cho từng khu đất; nguyên tắc tổ chức không
gian, kiến trúc cảnh quan; chỉ tiêu về dân số, sử dụng đất, hạ tầng kỹ thuật đối
với từng ô quy hoạch; bố trí công trình hạ tầng xã hội phù hợp với nhu cầu; bố
trí mạng lưới các công trình hạ tầng kỹ thuật đến các trục đường phố; đánh giá
môi trường chiến lược.
d.Xác định chức năng sử dụng cho từng khu đất; nguyên tắc tổ chức không
gian, kiến trúc cảnh quan; chỉ tiêu về dân số, sử dụng đất, hạ tầng kỹ thuật đối
với từng ô quy hoạch; bố trí công trình hạ tầng xã hội và mạng lưới các công
trình hạ tầng kỹ thuật đến các trục đường phố; đánh giá môi trường chiến lược",B 
9,"Bản vẽ của đồ án quy hoạch phân khu được thể hiện theo tỷ lệ nào theo các
phương án dưới đây:
a.Tỷ lệ 1/5.000.
b.Tỷ lệ 1/2.000.
c.Tỷ lệ 1/5.000 hoặc 1/2.000.
d.Cả 3 phương án trên.",C 
10,"Thời hạn quy hoạch đối với quy hoạch phân khu là phương án nào dưới đây:
a.20 năm
b.25 năm
c.30 năm
d.Xác định trên cơ sở thời hạn quy hoạch chung và yêu cầu quản lý, phát triển
đô thị.",D 
