stt,question,answer
1,"Cơ quan duy nhất có quyền lập pháp của nước CHXHCN Việt Nam là cơ quan
nào?
a. Chính phủ.
b. Ủy ban thường vụ Quốc Hội.
c. Quốc hội.
d. Văn phòng chủ tịch nước",C 
2,"Cơ quan quyền lực cao nhất của nước CHXHCN Việt Nam là cơ quan nào?
a. Văn phòng Chủ tịch nước.
b. Quốc hội.
c. Trung ương Đảng Cộng sản Việt Nam.
d. Chính phủ",B 
3,"Cơ quan quản lý Nhà nước cao nhất của nước Việt Nam về xây dựng là cơ
quan nào?
a. Bộ xây dựng.
b. Văn phòng chính phủ.
c. Chính phủ.
d. Quốc hội",C 
4,"Luật xây dựng số 62/2020/QH14 của Quốc hội là văn bản gì?
a. Văn bản pháp quy mang tính chất quy định bắt buộc
b. Văn bản pháp quy mang tính chất hướng dẫn không bắt buộc
c. Văn bản mang tính chất quy định bắt buộc đối với một số địa phương và đối
tượng
d. Văn bản pháp quy mang tính chất tham khảo không bắt buộc",A 
5,"Theo pháp luật Việt Nam thì đối tượng áp dụng của số 62/2020/QH14 của
Quốc hội được quy định như thế nào?
a. Áp dụng đối với cơ quan, tổ chức, cá nhân trong nước; tổ chức, cá nhân
nước ngoài hoạt động đầu tư xây dựng trên lãnh thổ Việt Nam Áp dụng đối với
cơ quan, tổ chức, cá nhân nước ngoài hoạt động đầu tư xây dựng trên lãnh thổ
Việt Nam
b. Áp dụng đối với cơ quan, tổ chức, cá nhân nước ngoài hoạt động đầu tư xây
dựng trên lãnh thổ Việt Nam
c. Áp dụng đối với tất cả cơ quan, doanh nghiệp trong nước; cá nhân nước
ngoài hoạt động đầu tư xây dựng trên lãnh thổ Việt Nam
d. Không áp dụng đối với cơ quan, tổ chức, cá nhân trong nước; tổ chức, cá
nhân nước ngoài hoạt động đầu tư xây dựng trên lãnh thổ Việt Nam",A 
6,"Pháp lệnh do cơ quan nào ban hành?
a. Chính phủ
b. Quốc hội
c. Ủy ban Thường vụ quốc hội
d. Văn phòng chủ tịch nước",C 
7,"Tại Việt Nam Cơ quan quản lý nhà nước về xây dựng gồm:
a. Bộ xây dựng, Uỷ ban nhân dân cấp tỉnh, Ủy ban nhân dân cấp huyện.
b. Văn phòng chính phủ, Bộ xây dựng, Bộ tài nguyên và môi trường, Sở xây
dựng.
c. Bộ xây dựng, sở xây dựng, phòng quản lý xây dựng chuyên ngành.
d. Tất cả các đáp án a, b và c",A 
8,"Cơ quan chuyên môn quản lý nhà nước về xây dựng tại địa phương là cơ quan
nào?
a. Ban Quản lý dự án tỉnh.
b. Sở xây dựng.
c. Hội đồng Nhân Dân tỉnh.
d. Ủy Ban Nhân Dân tỉnh",B 
9,"Hệ thống văn bản pháp luật xây dựng hiện hành của nước Cộng hòa xã hội chủ
nghĩa Việt Nam quy định chứng chỉ hành nghề hoạt động xây dựng có hiệu lực
tối đa trong thời hạn bao nhiêu năm?
a. 5 năm
b. 7 năm
c. 3 năm
d. 10 năm.",A 
10,"Khái niệm về trách nhiệm trong lĩnh vực xây dựng của cơ quan quản lý nhà
nước nào sau đây không đúng?
a. Chính phủ thống nhất quản lý nhà nước về xây dựng trong phạm vi cả nước.
b. Bộ Xây dựng chịu trách nhiệm trước Chính phủ thực hiện thống nhất quản
lý nhà nước về xây dựng.
c. Các bộ, cơ quan ngang bộ trong phạm vi nhiệm vụ, quyền hạn của mình phối
hợp với Bộ Xây dựng để thực hiện quản lý nhà nước về xây dựng.
d. Hội đồng nhân dân các cấp có trách nhiệm trực tiếp thực hiện quản lý nhà
nước về xây dựng trên địa bàn theo phân cấp của nhà nước",D 
11,"Các hoạt động đầu tư xây dựng chịu sự điều chỉnh của pháp luật nào dưới đây?
a. Pháp luật về xây dựng
b. Pháp luật về xây dựng và pháp luật về đầu tư công
c. Pháp luật về xây dựng và pháp luật về đấu thầu
d. Pháp luật về xây dựng và pháp luật khác có liên quan",D 
12,"Theo quy định của pháp luật về xây dựng, hoạt động xây dựng gồm các công
việc nào dưới đây?
a. Lập quy hoạch xây dựng, lập dự án đầu tư xây dựng công trình, khảo sát xây
dựng
b. Thiết kế xây dựng, thi công xây dựng, giám sát xây dựng, quản lý dự án, lựa
chọn nhà thầu, nghiệm thu, bàn giao đưa công trình vào khai thác sử dụng
c. Bảo hành, bảo trì công trình xây dựng và hoạt động khác có liên quan đến
xây dựng công trình
d. Các công việc nêu tại điểm a, b và c",D 
13,"Dự án đầu tư xây dựng sử dụng vốn ODA thì thực hiện theo quy định nào?
a. Theo quy định của Hiệp định vay vốn mà Việt Nam ký kết với tổ chức cho
vay
b. Theo pháp luật về xây dựng
c. Theo quy định của Hiệp định vay vốn mà Việt Nam ký kết với tổ chức cho
vay, các quy định của pháp luật về xây dựng và pháp luật khác liên quan
d. Theo quy định của Hiệp định vay vốn mà Việt Nam ký kết với tổ chức cho
vay và các quy định của pháp luật về xây dựng",C 
14,"Việc áp dụng tiêu chuẩn, quy chuẩn kỹ thuật trong hoạt động đầu tư xây dựng
phải tuân thủ theo những nguyên tắc nào?
a. Tuân thủ Quy chuẩn kỹ thuật quốc gia
b. Tiêu chuẩn được viện dẫn trong quy chuẩn kỹ thuật hoặc văn bản quy phạm
pháp luật khác có liên quan
c. Tiêu chuẩn được áp dụng trong hoạt động đầu tư xây dựng theo nguyên tắc
tự nguyện
d. Tất cả các quy định tại a, b và c",D 
15,"Việc giám sát đánh giá đầu tư đối với các dự án đầu tư xây dựng sử dụng vốn
đầu tư công, vốn nhà nước ngoài đầu tư công căn cứ vào các quy định nào?
a. Pháp luật về xây dựng
b. Pháp luật về đầu tư công
c. Pháp luật về đầu tư công và pháp luật về xây dựng
d. Pháp luật về đầu tư công, pháp luật về xây dựng và pháp luật khác có liên
quan",D 
16,"Những chủ thể nào bắt buộc phải mua bảo hiểm công trình trong thời gian thi
công xây dựng đối với công trình có ảnh hưởng đến an toàn cộng đồng, môi
trường, công trình có yêu cầu kỹ thuật đặc thù, điều kiện thi công xây dựng
phức tạp ?
a. Chủ đầu tư xây dựng công trình
b. Nhà thầu thi công xây dựng công trình
c. Nhà thầu tư vấn thiết kế xây dựng công trình
d. Cả 3 chủ thể nêu tại a, b và c",A 
17,"Nội dung nào sau đây là đúng quy định về trách nhiệm mua bảo hiểm bắt buộc
trong hoạt động đầu tư xây dựng?
a. Chủ đầu tư mua bảo hiểm công trình trong thời gian xây dựng đối với công
trình có ảnh hưởng đến an toàn cộng đồng, môi trường, công trình có yêu cầu
kỹ thuật đặc thù, điều kiện thi công xây dựng phức tạp;
b. Nhà thầu tư vấn mua bảo hiểm trách nhiệm nghề nghiệp tư vấn đầu tư xây
dựng đối với công việc khảo sát xây dựng, thiết kế xây dựng của công trình
xây dựng từ cấp II trở lên;
c. Cả nội dung a và b đều đúng
d. Các nội dung trên đều sai",C 
18,"Dự án đầu tư xây dựng được phân thành loại và nhóm A, B, C đối với các
nguồn vốn nào?
a. Nguồn vốn đầu tư công
b. Nguồn vốn nhà nước ngoài đầu tư công
c. Nguồn vốn khác không phải nguồn vốn nêu tại điểm a và b
d. Tất cả các nguồn vốn nêu tại điểm a, b và c",D 
19,"Đối với công trình cấp II và cấp III, quy định về thời gian thẩm định thiết kế
xây dựng triển khai sau thiết kế cơ sở của cơ quan chuyên môn về xây dựng
tính từ ngày nhận đủ hồ sơ hợp lệ như thế nào là đúng sau đây ?
a. Không quá 40 ngày
b. Không quá 30 ngày
c. Không quá 25 ngày
d. Không quá 20 ngày",B 
20,"Theo quy định của pháp luật về xây dựng, những công tác gì được liệt kê dưới
đây thuộc giai đoạn chuẩn bị dự án ?
a. Quyết định hoặc chấp thuận chủ trương đầu tư
b. Lập, thẩm định, phê duyệt Báo cáo nghiên cứu khả thi đầu tư xây dựng
c. Xin cấp phép xây dựng
d. Bao gồm công tác a và b",D 
21,"Theo quy định của pháp luật về xây dựng, công tác nào sau đây ở giai đoạn
thực hiện dự án ?
a. Thanh toán khối lượng xây lắp hoàn thành
b. Giám sát thi công xây dựng;
c. Vận hành, chạy thử; nghiệm thu hoàn thành công trình xây dựng
d. Tất cả các công tác trên",D 
22,"Theo quy định của pháp luật về xây dựng, công trình xây dựng được phân cấp
phục vụ quản lý hoạt động đầu tư xây dựng trên cơ sở các căn cứ nào?
a. Quy mô, mức độ quan trọng, thông số kỹ thuật của công trình
b. Thời hạn sử dụng, vật liệu
c. Yêu cầu xây dựng công trình
d. Tất cả các căn cứ trên",A 
23,"Việc phân loại công trình xây dựng theo quy định của pháp luật về xây dựng
trên cơ sở tiêu chí nào?
a. Theo tính chất kết cấu và công năng sử dụng công trình
b. Theo kiến trúc công trình
c. Do người quyết định đầu tư quy định
d. Do chủ đầu tư quy định",A 
24,"Những dự án đầu tư xây dựng nào có thể được phân chia thành các dự án thành
phần hoặc phân kỳ đầu tư để quản lý thực hiện như một dự án độc lập?
a. Dự án quan trọng quốc gia, dự án nhóm A
b. Khi mỗi dự án thành phần có thể vận hành, khai thác độc lập
c. Dự án nhóm B, C
d. Cả 3 phương án a, b và c",B 
25,"Dự án đầu tư xây dựng phải đáp ứng các yêu cầu nào dưới đây?
a. Phù hợp với quy hoạch và kế hoạch sử dụng đất tại địa phương nơi có dự án
đầu tư xây dựng
b. Có phương án công nghệ và phương án thiết kế xây dựng phù hợp
c. Bảo đảm chất lượng, an toàn trong xây dựng và bảo vệ môi trường
d. Cả 3 phương án trên",D 
26,"Các dự án đầu tư xây dựng có quy mô nhóm nào yêu cầu phải lập Báo cáo
nghiên cứu tiền khả thi để trình cấp có thẩm quyền quyết định hoặc chấp thuận
chủ trương đầu tư?
a. Dự án quan trọng quốc gia,
b. Dự án PPP theo quy định của pháp luật về đầu tư theo phương thức đối tác
công tư
c. Dự án nhóm A sử dụng vốn đầu tư công
d. Cả 3 phương án trên",D 
